name,param_idx,estimate,bca_lo,bca_hi,pc_lo,pc_hi,excludes_zero,p_bca,p_bca_label,p_bonferroni,p_bonferroni_label,p_holm,p_holm_label,p_fdr_bh,p_fdr_bh_label,n_admit,z0,acc
w.contrast.prev_main(L1-L3),2,0.00636917334307713,-0.0123001292813701,0.0129165100006583,0.000875092871157776,0.0139799255081638,0,0.0686075966083865,0.069,1,1.000,1,1.000,0.242366434326689,0.242,8836,-0.0201428975143439,-0.0575483830925147
w.contrast.prev_main(L2-L3),2,0.000873515477703689,-0.0597271331832251,0.00294473264837433,-0.00438327442592694,0.0545061668876083,0,0.933828066204196,0.934,1,1.000,1,1.000,0.952138420443494,0.952,6134,-0.308873610099611,-0.144669679725099
w.contrast.curr_main(L1-L2),2,-0.00218915837172609,-0.0525587664234887,0.00217618541062865,-0.00869498162363923,0.0528234888635483,0,0.282432800390812,0.282,1,1.000,1,1.000,0.506431228286973,0.506,6168,-0.288000568493053,-0.143242334477969
w.contrast.curr_main(L1-L3),2,-0.00696740786114562,-0.0655946174972904,-0.0010636667598396,-0.0134712890258566,0.0493177338281385,1,0.0244062660208435,0.024*,1,1.000,1,1.000,0.115375075734897,0.115,6148,-0.306437831208527,-0.143410420644431
w.contrast.curr_main(L2-L3),2,-0.00477824948941953,-0.0151676805154264,0.00138684768914508,-0.012358616172532,0.00210764697723411,0,0.128723515120885,0.129,1,1.000,1,1.000,0.330998313869175,0.331,9600,-0.114615365584988,-0.015861935373339
w.contrast.diag(L1L1-L2L2),2,0.00207209491434481,-0.00619138936876633,0.0125939913394446,-0.00579868112661213,0.0138841691181332,0,0.655007346327773,0.655,1,1.000,1,1.000,0.810961476405814,0.811,9965,-0.0741473665047176,0.0131433664731979
w.contrast.diag(L1L1-L3L3),2,-0.00117522151106204,-0.0136798697202483,0.0136191106869088,-0.0142450281403321,0.0131179141939691,0,0.859583749502306,0.860,1,1.000,1,1.000,0.912211326002448,0.912,9931,0.0183003417215614,0.00676283232109052
w.contrast.diag(L2L2-L3L3),2,-0.00324731642540685,-0.0140004578529928,0.00294428518379742,-0.0142565835524185,0.00284581932649354,0,0.322729761141582,0.323,1,1.000,1,1.000,0.542378466775649,0.542,9923,-0.0167992160336943,0.0176207040284325
w.contrast.offdiag(L1L2-L2L1),2,0.00912897271843133,-0.00139838917008445,0.0391043899394962,-0.149466033122795,0.0282391353879584,0,0.127101571487242,0.127,1,1.000,1,1.000,0.330998313869175,0.331,6647,0.180669436880749,0.143230740601985
w.contrast.offdiag(L1L3-L3L1),2,0.011892424722891,0.00306041689287312,0.0237396426153437,-0.000144479534051003,0.0215205780128895,1,0.02081495911559,0.021*,1,1.000,1,1.000,0.108237787401068,0.108,8982,0.255595500569971,-0.0314590044759493
w.contrast.offdiag(L2L3-L3L2),2,0.00709592144845501,0.00146558274472327,0.0180960847379774,0.000692193146869312,0.0163250350655086,1,0.0187888075315514,0.019*,1,1.000,1,1.000,0.108237787401068,0.108,9757,0.0625973785473226,0.0194490366875004
w.contrast.cell_grand,2,0.0245076839504725,0.0213806326787427,0.0276211700781781,0.0222094799169327,0.0433779181632454,1,0.0195755377302911,0.020*,1,1.000,1,1.000,0.108237787401068,0.108,6106,-0.027097561832852,-0.142991157124261
w.precision.prev_main(L1-L2),2,-0.000945634143657437,-0.00406314572588005,0.0548481451934031,-0.0249120230992514,0.0236099216809423,0,0.837138996067081,0.837,1,1.000,1,1.000,0.897551088566767,0.898,8738,0.227715725377137,0.0488476509130451
w.precision.prev_main(L1-L3),2,-0.00228574910334125,-0.0351461581302011,0.06475787557928,-0.0548391920718626,0.00967596161811948,0,0.512218888186439,0.512,1,1.000,1,1.000,0.739871727380412,0.740,8960,0.123969674923176,0.143129350803403
w.precision.prev_main(L2-L3),2,-0.00134011495968381,-0.0490340056579461,0.059842163265884,-0.0553577173455663,0.0172526584617916,0,0.683045463335318,0.683,1,1.000,1,1.000,0.822768376603029,0.823,8387,-0.0608577257257057,0.141493834154084
w.precision.curr_main(L1-L2),2,0.00596160060828498,-0.055226732908292,0.0451484303012126,-0.0118769346688891,0.0558622844027487,0,0.296978759881014,0.297,1,1.000,1,1.000,0.523487983519075,0.523,8274,-0.0758106581851498,-0.141984356707054
w.precision.curr_main(L1-L3),2,0.007693453271437,-0.0485369492861634,0.0453123491105402,0.0046834508459549,0.0626492382193616,0,0.130382998104389,0.130,1,1.000,1,1.000,0.330998313869175,0.331,9568,-0.187625074685152,-0.144451612630125
w.precision.curr_main(L2-L3),2,0.00173185266315202,-0.00729500035844188,0.0100605566194023,-0.00414819862412711,0.0493497839136027,0,0.71992232952765,0.720,1,1.000,1,1.000,0.822768376603029,0.823,8418,-0.147331918072112,-0.0337680092947735
w.precision.diag(L1L1-L2L2),2,0.00755126316514212,-0.00161513172815121,0.0914003379282246,-0.00336624882482744,0.075685431294348,0,0.0834570872227956,0.083,1,1.000,1,1.000,0.255280502093257,0.255,9034,0.131900371256679,-0.0377348695200327
w.precision.diag(L1L1-L3L3),2,0.00641133859971137,-0.000533422212497639,0.0751745154149897,-0.000148570359959512,0.086818513114283,0,0.0699133945173142,0.070,1,1.000,1,1.000,0.242366434326689,0.242,9970,0.00125708572458381,-0.0305351846301861
w.precision.diag(L2L2-L3L3),2,-0.00113992456543075,-0.0107654392161265,0.00708905104204031,-0.00953822138136382,0.0120721332758396,0,0.715732764839428,0.716,1,1.000,1,1.000,0.822768376603029,0.823,9049,-0.0936261675399563,-0.0226375513280212
w.precision.offdiag(L1L2-L2L1),2,-0.00873750507820735,-0.0672538064339874,-0.00248283608974332,-0.0627432726415734,-0.00212419612966529,1,0.0101855225130092,0.010*,1,1.000,0.947253593709855,0.947,0.0882745284460797,0.088,9698,0.0356762304717083,-0.0474450116190742
w.precision.offdiag(L1L3-L3L1),2,-0.00814893204851331,-0.0166051551397317,0.171354668261899,-0.156923042037638,-0.00194215365053385,0,0.148583490228327,0.149,1,1.000,1,1.000,0.336546479824377,0.337,9721,0.194220160565335,0.144813401092426
w.precision.offdiag(L2L3-L3L2),2,-0.00490223794910077,-0.041664094153843,0.00735086659485562,-0.0415419926827203,0.00740347055501101,0,0.543076339177494,0.543,1,1.000,1,1.000,0.748953274746081,0.749,9359,0.00147306982545385,-0.00244263953950473
w.precision.cell_grand,2,0.0268006713223726,0.024381251041653,0.0440885837316923,0.0247852518299999,0.0477018931488388,1,0.015136015273146,0.015*,1,1.000,1,1.000,0.108237787401068,0.108,8203,0.00229181135157871,-0.139656811277842
sigma.contrast.prev_main(L1-L2),3,-0.457555542997294,-2.86132290663226,0.900484560775107,-3.02837188229014,0.856091401156679,0,0.618449074091962,0.618,1,1.000,1,1.000,0.787915649521866,0.788,6587,0.100823843292205,-0.0296351350987082
sigma.contrast.prev_main(L1-L3),3,-1.08461685319931,-3.4566773474849,0.586795131092028,-3.01456557610707,0.881383852976352,0,0.196395175736891,0.196,1,1.000,1,1.000,0.366272480646186,0.366,8836,-0.0980276133454116,-0.0261273947305564
sigma.contrast.prev_main(L2-L3),3,-0.627061310202014,-2.20037400805589,1.7767442651337,-2.33253735256704,1.54761250705787,0,0.559207360346852,0.559,1,1.000,1,1.000,0.748953274746081,0.749,6134,0.0658393770226256,0.00660786980566683
sigma.contrast.curr_main(L1-L2),3,-0.280375650404982,-2.02884334953823,0.973953689868213,-1.73132147954992,1.17759346711434,0,0.547887821744771,0.548,1,1.000,1,1.000,0.748953274746081,0.749,6168,-0.14682711431727,0.00952717658735391
sigma.contrast.curr_main(L1-L3),3,-1.51502586803083,-5.08981326209747,-0.220952203567701,-3.68202803326063,0.242382637069584,1,0.0203446096654287,0.020*,1,1.000,1,1.000,0.108237787401068,0.108,6148,-0.349464785525693,-0.0116365861711348
sigma.contrast.curr_main(L2-L3),3,-1.23465021762585,-4.23131620124762,0.332815512984993,-3.87325896538006,0.501275594073062,0,0.134109191108224,0.134,1,1.000,1,1.000,0.330998313869175,0.331,9600,-0.068725232149853,-0.0111628526199398
sigma.contrast.diag(L1L1-L2L2),3,-0.582019032187919,-3.28155441578519,2.40822875776285,-3.87303715235436,2.00646159581955,0,0.707745308508646,0.708,1,1.000,1,1.000,0.822768376603029,0.823,9965,0.0602810917370791,0.0305170722900641
sigma.contrast.diag(L1L1-L3L3),3,-2.86700599889027,-7.88372096823574,0.173210751737825,-7.51414641452821,0.348348498245498,0,0.06541809951635,0.065,1,1.000,1,1.000,0.242366434326689,0.242,9931,-0.0316820538113931,-0.0123585071689431
sigma.contrast.diag(L2L2-L3L3),3,-2.28498696670235,-5.67634055383689,0.0345600621945891,-5.27514493069491,0.244196127125494,0,0.0531460279500211,0.053,1,1.000,1,1.000,0.212584111800084,0.213,9923,-0.0693965315082101,-0.00738635717182036
sigma.contrast.offdiag(L1L2-L2L1),3,-0.775648026572011,-5.98279685688333,2.77675033269955,-6.03186991602618,2.75607104754084,0,0.710995931897928,0.711,1,1.000,1,1.000,0.822768376603029,0.823,6647,0.0496098737964242,-0.0211778142784005
sigma.contrast.offdiag(L1L3-L3L1),3,1.02887714881122,-2.34708484831417,4.80977345566186,-2.09448085611865,5.18919481554703,0,0.568215953741988,0.568,1,1.000,1,1.000,0.748953274746081,0.749,8982,-0.0142331728264912,-0.0316184472560335
sigma.contrast.offdiag(L2L3-L3L2),3,0.0091207734441312,-3.27342549214064,4.7071454576639,-3.39303334389065,4.49553200382551,0,0.982884291388673,0.983,1,1.000,1,1.000,0.983011745625069,0.983,9757,0.016314231437537,0.00643268999773453
