subject_id,cell,param,influence,influence_abs
001,1,A,0.141567558934664,0.141567558934664
001,1,w,-0.00289967325814654,0.00289967325814654
001,1,sigma,-0.649104890996462,0.649104890996462
001,1,beta,0.162799751502183,0.162799751502183
001,2,A,0.262524560762416,0.262524560762416
001,2,w,-0.000804943851752993,0.000804943851752993
001,2,sigma,-0.554573685526883,0.554573685526883
001,2,beta,0.193793136097464,0.193793136097464
001,3,A,-0.00293044510106277,0.00293044510106277
001,3,w,-0.000661601670219683,0.000661601670219683
001,3,sigma,-1.30553255947692,1.30553255947692
001,3,beta,0.243098001044004,0.243098001044004
001,4,A,0.937261205066684,0.937261205066684
001,4,w,0.00113175391114646,0.00113175391114646
001,4,sigma,-0.799639340374686,0.799639340374686
001,4,beta,0.0669022753772927,0.0669022753772927
001,5,A,0.321627678190458,0.321627678190458
001,5,w,-0.00159646916521435,0.00159646916521435
001,5,sigma,-0.337694362775773,0.337694362775773
001,5,beta,0.0428933069845655,0.0428933069845655
001,6,A,1.29574916503453,1.29574916503453
001,6,w,0.00198701562300638,0.00198701562300638
001,6,sigma,-0.776527755176659,0.776527755176659
001,6,beta,0.294679132278358,0.294679132278358
001,7,A,0.677639733775115,0.677639733775115
001,7,w,-0.00178991418211752,0.00178991418211752
001,7,sigma,-0.0355881232673738,0.0355881232673738
001,7,beta,-0.0874813888773254,0.0874813888773254
001,8,A,0.649390195370064,0.649390195370064
001,8,w,6.4084140806251e-05,6.4084140806251e-05
001,8,sigma,-0.306862091985309,0.306862091985309
001,8,beta,0.0981142355724512,0.0981142355724512
001,9,A,0.652439596968427,0.652439596968427
001,9,w,-0.00150235909802489,0.00150235909802489
001,9,sigma,-0.0898175675657065,0.0898175675657065
001,9,beta,-0.165053647442499,0.165053647442499
001,10,A,0.240617131169568,0.240617131169568
001,10,w,-0.00273395355048734,0.00273395355048734
001,10,sigma,-0.393972600959334,0.393972600959334
001,10,beta,-0.0342789515687162,0.0342789515687162
001,11,A,0.723330368305056,0.723330368305056
001,11,w,-0.000159552554269842,0.000159552554269842
001,11,sigma,-0.701837540803105,0.701837540803105
001,11,beta,-0.0608855708538513,0.0608855708538513
001,12,A,1.15549302974499,1.15549302974499
001,12,w,0.00103647875173567,0.00103647875173567
001,12,sigma,0.135099794628815,0.135099794628815
001,12,beta,0.431956206633859,0.431956206633859
001,13,A,0.30370949162252,0.30370949162252
001,13,w,-0.000764224967469536,0.000764224967469536
001,13,sigma,-0.488403256314704,0.488403256314704
001,13,beta,0.148482299842471,0.148482299842471
001,14,A,0.991177470053068,0.991177470053068
001,14,w,0.000959099097237699,0.000959099097237699
001,14,sigma,0.124865501475897,0.124865501475897
001,14,beta,-0.0504829149611791,0.0504829149611791
001,15,A,0.819986090935759,0.819986090935759
001,15,w,1.7717779957984e-05,1.7717779957984e-05
001,15,sigma,-0.180792879389948,0.180792879389948
001,15,beta,0.328445907926689,0.328445907926689
001,16,A,0.57302629143968,0.57302629143968
001,16,w,-0.000797812779137583,0.000797812779137583
001,16,sigma,0.0945409333016407,0.0945409333016407
001,16,beta,-0.102871477193483,0.102871477193483
001,17,A,0.417518866310529,0.417518866310529
001,17,w,-0.0034160192670841,0.0034160192670841
001,17,sigma,-0.289681515403441,0.289681515403441
001,17,beta,-0.177663027765872,0.177663027765872
001,18,A,0.353192074092789,0.353192074092789
001,18,w,-0.00118861949402279,0.00118861949402279
001,18,sigma,-0.649513529180631,0.649513529180631
001,18,beta,-0.148882947804939,0.148882947804939
002,1,A,0.0114910877929182,0.0114910877929182
002,1,w,-0.000734288076814315,0.000734288076814315
002,1,sigma,0.298712529420156,0.298712529420156
002,1,beta,-0.128129047398146,0.128129047398146
002,2,A,-0.683994035003844,0.683994035003844
002,2,w,-0.0099531408006471,0.0099531408006471
002,2,sigma,-0.0309947062164788,0.0309947062164788
002,2,beta,0.0718930510897715,0.0718930510897715
002,3,A,0.658845858853017,0.658845858853017
002,3,w,-0.000479030328863435,0.000479030328863435
002,3,sigma,0.242535086511477,0.242535086511477
002,3,beta,0.132682909812571,0.132682909812571
002,4,A,0.066726956103321,0.066726956103321
002,4,w,0.0010614529981225,0.0010614529981225
002,4,sigma,0.693320556945601,0.693320556945601
002,4,beta,-0.0668190793921809,0.0668190793921809
002,5,A,0.0105901432839346,0.0105901432839346
002,5,w,0.000578814391075502,0.000578814391075502
002,5,sigma,0.350605857949329,0.350605857949329
002,5,beta,-0.0820345022753728,0.0820345022753728
002,6,A,0.535465636460547,0.535465636460547
002,6,w,0.000352186670325397,0.000352186670325397
002,6,sigma,0.609777158247436,0.609777158247436
002,6,beta,0.196271021205118,0.196271021205118
002,7,A,0.257584549995544,0.257584549995544
002,7,w,-0.000916285151030309,0.000916285151030309
002,7,sigma,-0.365124280038216,0.365124280038216
002,7,beta,-0.315273833829588,0.315273833829588
002,8,A,0.463164918639404,0.463164918639404
002,8,w,0.000487555267555499,0.000487555267555499
002,8,sigma,0.0602082131531816,0.0602082131531816
002,8,beta,-0.208777915067576,0.208777915067576
002,9,A,0.642930716788599,0.642930716788599
002,9,w,0.000187403453996246,0.000187403453996246
002,9,sigma,0.448790540852919,0.448790540852919
002,9,beta,0.0238012199243925,0.0238012199243925
002,10,A,0.481648960434691,0.481648960434691
002,10,w,-0.00133023924380723,0.00133023924380723
002,10,sigma,-0.296073103939772,0.296073103939772
002,10,beta,0.130402115502821,0.130402115502821
002,11,A,0.0898546732635062,0.0898546732635062
002,11,w,-0.00115434267123046,0.00115434267123046
002,11,sigma,0.270583853424135,0.270583853424135
002,11,beta,0.391521297455669,0.391521297455669
002,12,A,1.01362485502704,1.01362485502704
002,12,w,0.000284793702054611,0.000284793702054611
002,12,sigma,1.2629333622222,1.2629333622222
002,12,beta,0.339149801095819,0.339149801095819
002,13,A,0.104699800822221,0.104699800822221
002,13,w,-0.00134636720017119,0.00134636720017119
002,13,sigma,0.626524806548753,0.626524806548753
002,13,beta,0.179973605602973,0.179973605602973
002,14,A,0.658423763756116,0.658423763756116
002,14,w,2.49580543465015e-05,2.49580543465015e-05
002,14,sigma,0.56694538401497,0.56694538401497
002,14,beta,-0.119201721692338,0.119201721692338
002,15,A,0.626566686215093,0.626566686215093
002,15,w,-0.000366271611911058,0.000366271611911058
