subject_id,subject_label,manipulation,n_trials,A,w,fwhm,sigma,beta,exit_flag,at_bound_any,at_bound_count
1,001,contrast,1785,11.9466244654441,0.0203052591130587,82.0038401403372,10.9358001015758,0.246140624825152,2,0,0
1,001,precision,1785,13.7288105679514,0.0239309101877936,69.5798533883059,13.9033580837391,0.20449579269889,2,0,0
2,002,contrast,1785,12.3671022478022,0.0241152218285082,69.0480574533617,20.2922808372973,-1.02159268913908,2,0,0
2,002,precision,1785,13.6912139138673,0.022224652965237,74.9217198090742,22.1859545990905,0.917353780274247,2,0,0
3,003,contrast,1785,7.06977871957439,0.0269361781380294,61.8168328774355,19.7999726004046,-0.0540079170356834,2,0,0
3,003,precision,1785,5.71844023377697,0.0261142631044212,63.7624433688687,18.1446717298833,-0.205363452067613,2,0,0
4,004,contrast,1071,2.23205816156657,0.0138759101859616,120,90,-10,1,1,3
4,004,precision,1071,5.54019578513373,0.208138652789424,8,90,-10,2,1,3
5,006,contrast,1785,8.99613645264463,0.0250344865240102,66.5126173336295,10.1698124762559,0.180427006559586,2,0,0
5,006,precision,1785,9.69359503911844,0.0287711338763227,57.8742996182608,11.7407799148027,-0.25400044262254,2,0,0
6,007,contrast,1785,5.07946518188762,0.028042197464375,59.3786997053551,8.89279795608574,0.0667983694828474,2,0,0
6,007,precision,1785,5.76691264862006,0.0253295091433327,65.7379190766392,9.80803903645383,-0.0384944782492486,2,0,0
7,008,contrast,1785,-9.01888587718636,0.208138652789424,8,90,-1.8201259204475,2,1,2
7,008,precision,1785,30,0.208138652789424,8,90,-3.91935564034925,2,1,3
8,009,contrast,1785,4.89937128416362,0.0301946296310901,55.14587337746,11.9495968524311,-0.679133346751969,2,0,0
8,009,precision,1785,4.14007171739094,0.115904864414606,14.3661720388118,12.1209401978766,0.459379235589625,2,0,0
9,010,contrast,1785,3.91268119774885,0.0179252783419545,92.8916801485964,11.99145093472,-0.043546935663911,2,0,0
9,010,precision,1785,5.64295637289851,0.0253465206386471,65.6937986106274,12.7492340880818,0.0086611192147203,2,0,0
10,011,contrast,1785,8.70680395626716,0.0258307926395244,64.462180683049,15.6060660269568,-0.964020208177781,2,0,0
10,011,precision,1785,6.93915260266717,0.0280450206593069,59.3727222576612,12.8600883831026,0.942701148445566,2,0,0
11,013,contrast,1785,4.5286294239017,0.0212404275847893,78.3933946559443,13.0773750470358,-0.1630013223366,2,0,0
11,013,precision,1785,7.29715182266105,0.0292002353229503,57.0238288801283,13.2261758171116,0.188042995836363,2,0,0
12,015,contrast,1785,10.1446606399906,0.0180225601531269,92.3902713137289,17.7795261384674,0.10555853526463,2,0,0
12,015,precision,1785,11.7498261926131,0.0234624978672886,70.9689663791887,15.889362592159,-0.0377834586947523,2,0,0
