name,param_idx,estimate,bca_lo,bca_hi,pc_lo,pc_hi,excludes_zero,n_admit,z0,acc
A.contrast.prev_main(L1-L3),1,-0.349738312145576,-3.09371480201342,1.91287582554354,-2.87268399440677,2.08510597432054,0,3731,0.0178046525991235,-0.0309670634729765
A.contrast.curr_main(L1-L3),1,-1.54415621386344,-6.35516140373516,0.466131668657468,-4.66790756641059,1.62740029809595,0,2740,-0.288462540475621,-0.029442544586102
A.contrast.diag(L1L1-L3L3),1,-0.829135913560419,-5.29403391017833,3.38142193252251,-5.09543529090274,3.78450948147622,0,4550,-0.0148750459950986,-0.00987187796902344
A.contrast.offdiag(L1L3-L3L1),1,1.88974555765826,-1.25850189459671,9.52674703899865,-2.45028052494088,6.53078947714798,0,3984,0.288988260219625,0.0151734661706693
A.contrast.cell_grand,1,7.69381126769362,5.92339492869665,9.17185055631699,6.58604071640105,10.3154066590409,1,2707,-0.497075835331583,0.0152459151643336
A.precision.prev_main(L1-L3),1,1.12058653376296,-0.367893055296493,3.16378633490472,-0.523243723247073,2.90134507721963,0,3849,0.0478845383223814,0.0201231981301156
A.precision.curr_main(L1-L3),1,-2.19180165118399,-4.4291246284715,0.0749266062918252,-4.49328503181619,-0.0303113972275342,0,3790,-0.00198413977782416,0.0147587969458523
A.precision.diag(L1L1-L3L3),1,-3.50069546904879,-5.52309728868162,-1.64305380633569,-5.14815978782263,-1.05354574679141,1,4961,-0.15088744678319,-0.0021095930131089
A.precision.offdiag(L1L3-L3L1),1,3.35053188033493,-0.637772122791649,7.80085327761515,-0.178793869415066,8.33221946177655,0,3978,-0.0807433597252084,-0.0101461663658941
A.precision.cell_grand,1,7.81669575826907,5.47310411871906,9.78120014281112,6.16032904614942,10.5973129117984,1,3579,-0.329064767886767,0.00599204336268337
