subject_id,subject_label,n_trials,n_valid_responses,accuracy,response_rate,median_cell_n,min_cell_n,baseline_mu,baseline_sigma
1,001,3570,3570,0.564985994397759,1,200,179,-0.646457722978081,14.8945376210079
2,002,3570,3570,0.515966386554622,1,197.5,175,-0.529599005911738,23.3708874676831
3,003,3570,3570,0.536414565826331,1,198.5,182,-8.17669103443219,19.2312584944632
4,004,2142,2142,0.429038281979458,1,118.5,101,-12.7837534031203,90
5,006,3570,3570,0.601680672268908,1,198,190,2.49350998646115,12.1899918509344
6,007,3570,3570,0.616806722689076,1,198,187,1.2817321148405,9.88010109094374
7,008,3570,3570,0.428291316526611,1,195,186,-2.85004907275628,90
8,009,3570,3570,0.562745098039216,1,198.5,179,-10.021770411703,12.1662124986381
9,010,3570,3570,0.579271708683473,1,199,175,1.61707320422216,12.7820734816879
10,011,3570,3570,0.575910364145658,1,200,187,-0.385844588607694,14.856248845642
11,013,3570,3570,0.571148459383753,1,199.5,182,-7.26783046265676,13.5532753450953
12,015,3570,3570,0.550140056022409,1,198.5,177,0.613404613352698,18.7824615313827
