name,param_idx,estimate,bca_lo,bca_hi,pc_lo,pc_hi,excludes_zero,p_bca,p_bca_label,p_bonferroni,p_bonferroni_label,p_holm,p_holm_label,p_fdr_bh,p_fdr_bh_label,n_admit,z0,acc
A.contrast.prev_main(L1-L2),1,-0.0307715875713743,-1.75623046488457,2.86009874455976,-2.42695457910831,1.93114180586476,0,0.817702875807073,0.818,1,1.000,1,1.000,0.885844782124329,0.886,3092,0.254016856426051,-0.0013535506842163
A.contrast.prev_main(L1-L3),1,-0.349738312145576,-3.09371480201342,1.91287582554354,-2.87268399440677,2.08510597432054,0,0.760563202819021,0.761,1,1.000,1,1.000,0.880213127838057,0.880,3731,0.0178046525991235,-0.0309670634729765
A.contrast.prev_main(L2-L3),1,-0.318966724574202,-1.50457140496006,1.19746591368192,-1.66030906046532,0.910828078500729,0,0.703155258820704,0.703,1,1.000,1,1.000,0.880213127838057,0.880,2728,0.281153881897882,-0.101827705804683
A.contrast.curr_main(L1-L2),1,-2.0579363890642,-6.21407364567279,-0.23979185009397,-4.97642307548973,0.176850584292146,1,0.0278798341970232,0.028*,0.724875689122604,0.725,0.613356352334511,0.613,0.140290926121829,0.140,2805,-0.171066949812075,-0.0314723468871543
A.contrast.curr_main(L1-L3),1,-1.54415621386344,-6.35516140373516,0.466131668657468,-4.66790756641059,1.62740029809595,0,0.133225456326281,0.133,1,1.000,1,1.000,0.324691083016185,0.325,2740,-0.288462540475621,-0.029442544586102
A.contrast.curr_main(L2-L3),1,0.513780175200756,-1.65930766241925,2.99793236047653,-1.49019871276453,3.22884330210281,0,0.679498326151506,0.679,1,1.000,1,1.000,0.880213127838057,0.880,4195,-0.0564963982557274,-0.00609238358618548
A.contrast.diag(L1L1-L2L2),1,-2.49871301534123,-5.77910723955497,-0.232889455376033,-5.25730668616155,0.136215394995617,1,0.0323748291050374,0.032*,0.841745556730973,0.842,0.679871411205786,0.680,0.140290926121829,0.140,4631,-0.138738667110635,-0.00086543927203385
A.contrast.diag(L1L1-L3L3),1,-0.829135913560419,-5.29403391017833,3.38142193252251,-5.09543529090274,3.78450948147622,0,0.644344314282275,0.644,1,1.000,1,1.000,0.880213127838057,0.880,4550,-0.0148750459950986,-0.00987187796902344
A.contrast.diag(L2L2-L3L3),1,1.66957710178081,-1.20596825248771,5.27053691498505,-1.60837352700122,4.61995093142928,0,0.219346303487462,0.219,1,1.000,1,1.000,0.383849319088609,0.384,4612,0.0532883426081136,0.0237463443139564
A.contrast.offdiag(L1L2-L2L1),1,1.33183714555244,-1.39224642064974,10.13943144278,-2.2849692705282,5.63351969910946,0,0.352231171755804,0.352,1,1.000,1,1.000,0.572375654103182,0.572,3184,0.110440164196679,0.0590600080004311
