subject_id,n_trials,mu_baseline,sigma_baseline,exit_flag,fit_failed,at_bound,skipped
1,3570,-0.646457722978081,14.8945376210079,2,0,0,0
2,3570,-0.529599005911738,23.3708874676831,2,0,0,0
3,3570,-8.17669103443219,19.2312584944632,2,0,0,0
4,2142,-12.7837534031203,90,2,0,1,1
5,3570,2.49350998646115,12.1899918509344,2,0,0,0
6,3570,1.2817321148405,9.88010109094374,2,0,0,0
7,3570,-2.85004907275628,90,2,0,1,1
8,3570,-10.021770411703,12.1662124986381,2,0,0,0
9,3570,1.61707320422216,12.7820734816879,2,0,0,0
10,3570,-0.385844588607694,14.856248845642,2,0,0,0
11,3570,-7.26783046265676,13.5532753450953,2,0,0,0
12,3570,0.613404613352698,18.7824615313827,2,0,0,0
